"Date","Price","Open","High","Low","Change %"
"06/13/2020","-0.688","-0.688","-0.688","-0.688","0.78%"
"06/12/2020","-0.682","-0.649","-0.649","-0.687","3.85%"
"06/11/2020","-0.657","-0.625","-0.603","-0.666","9.45%"
"06/10/2020","-0.600","-0.592","-0.586","-0.607","0.77%"
"06/09/2020","-0.596","-0.611","-0.588","-0.615","-1.78%"
"06/08/2020","-0.606","-0.573","-0.562","-0.609","5.24%"
"06/05/2020","-0.576","-0.577","-0.559","-0.598","-2.62%"
"06/04/2020","-0.592","-0.604","-0.564","-0.633","-2.63%"
"06/03/2020","-0.608","-0.631","-0.596","-0.644","-4.04%"
"06/02/2020","-0.633","-0.652","-0.620","-0.666","-2.33%"
"06/01/2020","-0.648","-0.658","-0.626","-0.664","-2.01%"
"05/29/2020","-0.662","-0.647","-0.619","-0.666","5.23%"
"05/28/2020","-0.629","-0.627","-0.602","-0.657","0.34%"
"05/27/2020","-0.627","-0.653","-0.598","-0.667","-2.78%"
"05/26/2020","-0.645","-0.691","-0.626","-0.691","-7.36%"
"05/25/2020","-0.696","-0.696","-0.677","-0.707","-1.30%"
"05/24/2020","-0.705","-0.705","-0.705","-0.705","0.14%"
"05/23/2020","-0.704","-0.704","-0.704","-0.704","3.06%"
"05/22/2020","-0.683","-0.712","-0.681","-0.718","-3.12%"
"05/21/2020","-0.705","-0.696","-0.671","-0.713","2.53%"
"05/20/2020","-0.688","-0.684","-0.659","-0.696","0.50%"
"05/19/2020","-0.684","-0.708","-0.653","-0.718","-2.73%"
"05/18/2020","-0.703","-0.757","-0.683","-0.783","-7.98%"
"05/17/2020","-0.765","-0.765","-0.765","-0.765","0.20%"
"05/16/2020","-0.763","-0.763","-0.763","-0.763","1.41%"
"05/15/2020","-0.752","-0.754","-0.734","-0.786","-2.69%"
"05/14/2020","-0.773","-0.776","-0.747","-0.787","0.95%"
"05/13/2020","-0.766","-0.762","-0.747","-0.783","1.92%"
"05/12/2020","-0.752","-0.762","-0.724","-0.762","-2.10%"
"05/11/2020","-0.768","-0.785","-0.760","-0.795","-2.71%"
"05/10/2020","-0.789","-0.789","-0.789","-0.789","0.13%"
"05/09/2020","-0.788","-0.788","-0.788","-0.788","-0.74%"
"05/08/2020","-0.794","-0.787","-0.773","-0.813","12.40%"
"05/07/2020","-0.706","-0.641","-0.627","-0.714","4.04%"
"05/06/2020","-0.679","-0.712","-0.639","-0.725","-2.27%"
"05/05/2020","-0.695","-0.701","-0.643","-0.745","-1.10%"
"05/04/2020","-0.702","-0.680","-0.647","-0.746","-3.98%"
"05/01/2020","-0.732","-0.732","-0.725","-0.732","0.76%"
"04/30/2020","-0.726","-0.656","-0.608","-0.728","20.44%"
"04/29/2020","-0.603","-0.629","-0.582","-0.666","-3.66%"
"04/28/2020","-0.626","-0.602","-0.548","-0.639","11.73%"
"04/27/2020","-0.560","-0.606","-0.549","-0.648","-11.49%"
"04/24/2020","-0.633","-0.611","-0.567","-0.657","15.16%"
"04/23/2020","-0.549","-0.578","-0.531","-0.632","-4.82%"
"04/22/2020","-0.577","-0.618","-0.509","-0.651","-6.45%"
"04/21/2020","-0.617","-0.610","-0.558","-0.663","2.78%"
"04/20/2020","-0.600","-0.638","-0.549","-0.672","-5.97%"
"04/17/2020","-0.638","-0.630","-0.571","-0.663","-1.66%"
"04/16/2020","-0.649","-0.633","-0.556","-0.654","-0.76%"
"04/15/2020","-0.654","-0.611","-0.538","-0.661","8.91%"
