"Date","Price","Open","High","Low","Change %"
"07/30/2020","-0.300","-0.270","-0.268","-0.306","13.21%"
"07/29/2020","-0.265","-0.246","-0.236","-0.269","6.43%"
"07/28/2020","-0.249","-0.262","-0.235","-0.263","-4.60%"
"07/27/2020","-0.261","-0.259","-0.240","-0.281","-0.76%"
"07/24/2020","-0.263","-0.304","-0.255","-0.310","-6.74%"
"07/23/2020","-0.282","-0.303","-0.271","-0.323","-8.14%"
"07/22/2020","-0.307","-0.292","-0.290","-0.317","4.42%"
"07/21/2020","-0.294","-0.303","-0.270","-0.327","2.08%"
"07/20/2020","-0.288","-0.244","-0.239","-0.293","21.01%"
"07/17/2020","-0.238","-0.241","-0.205","-0.256","0.42%"
"07/16/2020","-0.237","-0.245","-0.213","-0.266","2.60%"
"07/15/2020","-0.231","-0.240","-0.182","-0.260","-9.41%"
"07/14/2020","-0.255","-0.230","-0.213","-0.258","23.19%"
"07/13/2020","-0.207","-0.233","-0.199","-0.243","-14.46%"
"07/10/2020","-0.242","-0.298","-0.218","-0.300","-11.03%"
"07/09/2020","-0.272","-0.297","-0.264","-0.304","-7.48%"
"07/08/2020","-0.294","-0.322","-0.276","-0.325","10.53%"
"07/07/2020","-0.266","-0.316","-0.263","-0.326","-12.79%"
"07/06/2020","-0.305","-0.275","-0.247","-0.307","1.84%"
"07/05/2020","-0.299","-0.299","-0.299","-0.299","0.00%"
"07/04/2020","-0.299","-0.299","-0.299","-0.299","6.58%"
"07/03/2020","-0.281","-0.304","-0.247","-0.310","-0.35%"
"07/02/2020","-0.282","-0.275","-0.257","-0.319","1.08%"
"07/01/2020","-0.279","-0.272","-0.213","-0.305","-9.12%"
"06/30/2020","-0.307","-0.302","-0.284","-0.313","6.23%"
"06/29/2020","-0.289","-0.287","-0.273","-0.321","-3.99%"
"06/26/2020","-0.301","-0.291","-0.291","-0.327","2.03%"
"06/25/2020","-0.295","-0.294","-0.269","-0.313","1.72%"
"06/24/2020","-0.290","-0.241","-0.237","-0.295","15.54%"
"06/23/2020","-0.251","-0.245","-0.241","-0.260","0.00%"
"06/22/2020","-0.251","-0.213","-0.209","-0.260","8.19%"
"06/19/2020","-0.232","-0.212","-0.212","-0.248","4.98%"
"06/18/2020","-0.221","-0.169","-0.165","-0.235","25.57%"
"06/17/2020","-0.176","-0.183","-0.165","-0.207","-11.11%"
"06/16/2020","-0.198","-0.186","-0.185","-0.219","5.88%"
"06/15/2020","-0.187","-0.191","-0.185","-0.208","3.31%"
"06/12/2020","-0.181","-0.142","-0.132","-0.186","19.87%"
"06/11/2020","-0.151","-0.128","-0.124","-0.164","22.76%"
"06/10/2020","-0.123","-0.166","-0.098","-0.168","-24.07%"
"06/09/2020","-0.162","-0.203","-0.160","-0.223","-25.69%"
"06/08/2020","-0.218","-0.199","-0.184","-0.232","9.00%"
"06/05/2020","-0.200","-0.178","-0.177","-0.224","-4.31%"
"06/04/2020","-0.209","-0.145","-0.125","-0.234","32.28%"
"06/03/2020","-0.158","-0.190","-0.149","-0.209","-26.51%"
"06/02/2020","-0.215","-0.238","-0.209","-0.248","-8.51%"
"06/01/2020","-0.235","-0.226","-0.215","-0.263","2.62%"
"05/29/2020","-0.229","-0.215","-0.205","-0.260","6.51%"
"05/28/2020","-0.215","-0.155","-0.152","-0.233","25.00%"
"05/27/2020","-0.172","-0.122","-0.120","-0.180","35.43%"
"05/26/2020","-0.127","-0.072","-0.069","-0.140","25.74%"
"05/25/2020","-0.101","-0.066","-0.056","-0.108","-8.60%"
"05/24/2020","-0.111","-0.111","-0.111","-0.111","0.00%"
"05/23/2020","-0.111","-0.110","-0.110","-0.111","22.78%"
"05/22/2020","-0.090","-0.058","-0.058","-0.090","55.17%"
"05/21/2020","-0.058","-0.075","-0.035","-0.076","-1.69%"
"05/20/2020","-0.059","-0.052","-0.035","-0.069","43.90%"
"05/19/2020","-0.041","-0.023","-0.023","-0.075","-295.24%"
"05/18/2020","0.021","0.066","0.069","-0.001","-1,150.00%"
