"Date","Price","Open","High","Low","Change %"
"02/24/2021","0.400","0.363","0.423","0.354","8.99%"
"02/23/2021","0.367","0.341","0.396","0.339","12.58%"
"02/22/2021","0.326","0.377","0.384","0.313","14.39%"
"02/21/2021","0.285","0.285","0.285","0.285","0.00%"
"02/20/2021","0.285","0.285","0.285","0.285","-21.49%"
"02/19/2021","0.363","0.361","0.365","0.344","4.91%"
"02/18/2021","0.346","0.296","0.356","0.296","19.72%"
"02/17/2021","0.289","0.312","0.320","0.284","22.98%"
"02/16/2021","0.235","0.191","0.236","0.191","15.76%"
"02/15/2021","0.203","0.189","0.206","0.178","26.09%"
"02/12/2021","0.161","0.122","0.169","0.108","30.89%"
"02/11/2021","0.123","0.137","0.137","0.114","-18.00%"
"02/10/2021","0.150","0.136","0.155","0.134","12.78%"
"02/09/2021","0.133","0.132","0.144","0.125","3.10%"
"02/08/2021","0.129","0.136","0.157","0.127","-1.53%"
"02/05/2021","0.131","0.117","0.157","0.116","4.80%"
"02/04/2021","0.125","0.130","0.140","0.117","-0.79%"
"02/03/2021","0.126","0.109","0.127","0.102","5.00%"
"02/02/2021","0.120","0.106","0.127","0.105","22.45%"
"02/01/2021","0.098","0.096","0.106","0.087","-2.97%"
"01/29/2021","0.101","0.074","0.115","0.070","32.89%"
"01/28/2021","0.076","0.075","0.083","0.068","-3.80%"
"01/27/2021","0.079","0.082","0.084","0.065","3.95%"
"01/26/2021","0.076","0.074","0.080","0.064","-2.56%"
"01/25/2021","0.078","0.117","0.117","0.073","-37.60%"
"01/22/2021","0.125","0.147","0.152","0.116","-2.34%"
"01/21/2021","0.128","0.074","0.138","0.069","60.00%"
"01/20/2021","0.080","0.061","0.084","0.059","12.68%"
"01/19/2021","0.071","0.085","0.087","0.066","-10.13%"
"01/18/2021","0.079","0.065","0.093","0.061","31.67%"
"01/15/2021","0.060","0.054","0.068","0.054","-4.76%"
"01/14/2021","0.063","0.068","0.088","0.060","-4.55%"
"01/13/2021","0.066","0.095","0.096","0.055","-43.59%"
"01/12/2021","0.117","0.077","0.119","0.074","77.27%"
"01/11/2021","0.066","0.033","0.069","0.033","53.49%"
"01/08/2021","0.043","0.045","0.045","0.021","-12.24%"
"01/07/2021","0.049","0.059","0.063","0.037","-5.77%"
"01/06/2021","0.052","0.071","0.077","0.046","23.81%"
"01/05/2021","0.042","0.031","0.042","0.022","61.54%"
"01/04/2021","0.026","0.055","0.055","0.023","-40.23%"
"01/01/2021","0.043","0.043","0.043","0.043","-20.91%"
"12/31/2020","0.055","0.055","0.055","0.055","-1.79%"
"12/30/2020","0.056","0.051","0.067","0.039","12.00%"
"12/29/2020","0.050","0.043","0.059","0.039","-15.25%"
"12/28/2020","0.059","0.071","0.076","0.054","-15.71%"
"12/25/2020","0.070","0.071","0.079","0.070","-28.57%"
"12/24/2020","0.098","0.090","0.098","0.090","24.05%"
"12/23/2020","0.079","0.047","0.092","0.038","58.00%"
"12/22/2020","0.050","0.046","0.071","0.040","-9.09%"
"12/21/2020","0.055","0.017","0.059","0.017","12.24%"
"12/18/2020","0.049","0.033","0.068","0.030","58.06%"
"12/17/2020","0.031","0.034","0.034","0.005","14.81%"
"12/16/2020","0.027","-0.014","0.039","-0.016","-292.86%"
"12/15/2020","-0.014","-0.001","0.004","-0.016","-380.00%"
"12/14/2020","0.005","0.008","0.021","0.000","-16.67%"
"12/11/2020","0.006","0.014","0.015","-0.002","-76.92%"
"12/10/2020","0.026","0.015","0.053","0.005","23.81%"
"12/09/2020","0.021","0.035","0.041","0.017","-32.26%"
"12/08/2020","0.031","0.056","0.059","0.024","-42.59%"
"12/07/2020","0.054","0.066","0.066","0.049","-37.21%"
"12/04/2020","0.086","0.073","0.089","0.056","13.16%"
"12/03/2020","0.076","0.099","0.100","0.071","-28.30%"
"12/02/2020","0.106","0.125","0.125","0.105","-13.11%"
"12/01/2020","0.122","0.075","0.125","0.070","45.24%"
"11/30/2020","0.084","0.064","0.084","0.055","37.70%"
"11/27/2020","0.061","0.055","0.066","0.046","12.96%"
"11/26/2020","0.054","0.075","0.075","0.052","-20.59%"
"11/25/2020","0.068","0.081","0.090","0.054","-8.11%"
"11/24/2020","0.074","0.071","0.076","0.061","-1.33%"
"11/23/2020","0.075","0.063","0.079","0.058","19.05%"
"11/21/2020","0.063","0.063","0.063","0.063","-8.70%"
"11/20/2020","0.069","0.072","0.079","0.066","-6.76%"
"11/19/2020","0.074","0.082","0.089","0.069","-9.76%"
"11/18/2020","0.082","0.066","0.092","0.064","3.80%"
"11/17/2020","0.079","0.103","0.106","0.075","-21.00%"
"11/16/2020","0.100","0.100","0.131","0.086","-13.79%"
"11/13/2020","0.116","0.130","0.130","0.099","-12.78%"
"11/12/2020","0.133","0.147","0.163","0.133","-18.40%"
"11/11/2020","0.163","0.197","0.203","0.146","-12.83%"
"11/10/2020","0.187","0.185","0.205","0.172","-3.11%"
"11/09/2020","0.193","0.082","0.202","0.068","93.00%"
"11/06/2020","0.100","0.089","0.105","0.081","8.70%"
"11/05/2020","0.092","0.083","0.102","0.071","0.00%"
"11/04/2020","0.092","0.091","0.105","0.080","-17.86%"
"11/03/2020","0.112","0.131","0.139","0.106","-11.11%"
"11/02/2020","0.126","0.146","0.161","0.123","-8.03%"
"10/30/2020","0.137","0.150","0.161","0.125","0.74%"
"10/29/2020","0.136","0.186","0.204","0.128","-24.86%"
"10/28/2020","0.181","0.170","0.193","0.161","12.42%"
"10/27/2020","0.161","0.187","0.193","0.158","-13.90%"
"10/26/2020","0.187","0.145","0.197","0.140","-6.50%"
"10/23/2020","0.200","0.215","0.223","0.197","-11.89%"
"10/22/2020","0.227","0.195","0.232","0.192","10.19%"
"10/21/2020","0.206","0.182","0.207","0.180","11.96%"
"10/20/2020","0.184","0.160","0.198","0.160","12.88%"
"10/19/2020","0.163","0.140","0.174","0.128","29.37%"
"10/16/2020","0.126","0.147","0.150","0.115","-16.56%"
"10/15/2020","0.151","0.134","0.175","0.127","9.42%"
"10/14/2020","0.138","0.141","0.144","0.127","-6.12%"
"10/13/2020","0.147","0.146","0.166","0.143","0.68%"
"10/12/2020","0.146","0.170","0.176","0.142","-16.09%"
"10/09/2020","0.174","0.194","0.195","0.140","-13.86%"
"10/08/2020","0.202","0.245","0.245","0.200","-17.55%"
"10/07/2020","0.245","0.224","0.254","0.223","1.24%"
"10/06/2020","0.242","0.258","0.275","0.222","-6.56%"
"10/05/2020","0.259","0.221","0.267","0.211","18.26%"
"10/03/2020","0.219","0.219","0.219","0.219","-1.35%"
"10/02/2020","0.222","0.227","0.236","0.213","-5.53%"
"10/01/2020","0.235","0.259","0.265","0.235","-6.00%"
"09/30/2020","0.250","0.227","0.254","0.222","13.12%"
"09/29/2020","0.221","0.241","0.245","0.218","-11.60%"
"09/28/2020","0.250","0.254","0.262","0.238","0.00%"
"09/25/2020","0.250","0.249","0.258","0.237","0.00%"
"09/24/2020","0.250","0.225","0.251","0.209","8.70%"
"09/23/2020","0.230","0.228","0.241","0.200","-2.54%"
"09/22/2020","0.236","0.254","0.257","0.228","-7.45%"
"09/21/2020","0.255","0.291","0.302","0.245","-9.57%"
"09/19/2020","0.282","0.282","0.282","0.282","-0.35%"
"09/18/2020","0.283","0.278","0.287","0.257","5.99%"
"09/17/2020","0.267","0.266","0.296","0.257","1.91%"
"09/16/2020","0.262","0.273","0.273","0.246","-4.03%"
"09/15/2020","0.273","0.276","0.304","0.267","-3.19%"
"09/14/2020","0.282","0.296","0.299","0.264","-8.74%"
"09/11/2020","0.309","0.316","0.336","0.307","-11.97%"
"09/10/2020","0.351","0.339","0.359","0.309","2.93%"
"09/09/2020","0.341","0.312","0.343","0.297","2.71%"
"09/08/2020","0.332","0.355","0.362","0.324","-6.74%"
"09/07/2020","0.356","0.375","0.379","0.345","1.71%"
"09/04/2020","0.350","0.321","0.354","0.320","7.69%"
"09/03/2020","0.325","0.342","0.349","0.299","-2.11%"
"09/02/2020","0.332","0.384","0.384","0.330","-17.00%"
"09/01/2020","0.400","0.407","0.428","0.390","-2.68%"
"08/31/2020","0.411","0.380","0.414","0.379","6.48%"
"08/28/2020","0.386","0.401","0.408","0.371","-1.03%"
"08/27/2020","0.390","0.364","0.400","0.332","2.36%"
"08/26/2020","0.381","0.401","0.402","0.370","-1.80%"
"08/25/2020","0.388","0.343","0.399","0.342","19.02%"
"08/24/2020","0.326","0.306","0.328","0.298","10.51%"
"08/23/2020","0.295","0.295","0.295","0.295","0.00%"
"08/22/2020","0.295","0.295","0.295","0.295","-1.34%"
"08/21/2020","0.299","0.298","0.306","0.284","2.05%"
"08/20/2020","0.293","0.289","0.314","0.278","-0.68%"
"08/19/2020","0.295","0.307","0.322","0.287","-6.05%"
"08/18/2020","0.314","0.322","0.333","0.309","-4.27%"
"08/17/2020","0.328","0.356","0.361","0.325","-9.39%"
"08/14/2020","0.362","0.375","0.398","0.359","-2.16%"
"08/13/2020","0.370","0.301","0.383","0.293","17.83%"
"08/12/2020","0.314","0.292","0.328","0.290","9.79%"
"08/11/2020","0.286","0.258","0.294","0.244","7.52%"
"08/10/2020","0.266","0.280","0.294","0.255","-8.28%"
"08/07/2020","0.290","0.285","0.291","0.260","2.84%"
"08/06/2020","0.282","0.312","0.318","0.263","-15.06%"
"08/05/2020","0.332","0.286","0.332","0.282","13.70%"
"08/04/2020","0.292","0.335","0.338","0.282","-17.75%"
"08/03/2020","0.355","0.336","0.366","0.335","3.50%"
"07/31/2020","0.343","0.315","0.344","0.303","7.52%"
"07/30/2020","0.319","0.346","0.349","0.312","-9.89%"
"07/29/2020","0.354","0.356","0.363","0.343","-2.48%"
"07/28/2020","0.363","0.352","0.364","0.341","2.83%"
"07/27/2020","0.353","0.346","0.383","0.343","-5.36%"
"07/24/2020","0.373","0.322","0.375","0.315","12.69%"
"07/23/2020","0.331","0.343","0.343","0.315","-2.93%"
"07/22/2020","0.341","0.365","0.375","0.326","-6.83%"
"07/21/2020","0.366","0.343","0.370","0.325","-3.68%"
"07/20/2020","0.380","0.407","0.411","0.357","-11.21%"
"07/17/2020","0.428","0.409","0.430","0.398","4.14%"
"07/16/2020","0.411","0.424","0.441","0.396","-3.52%"
"07/15/2020","0.426","0.417","0.430","0.397","3.15%"
"07/14/2020","0.413","0.435","0.440","0.406","-7.61%"
"07/13/2020","0.447","0.439","0.454","0.426","3.95%"
"07/10/2020","0.430","0.398","0.431","0.397","4.37%"
"07/09/2020","0.412","0.411","0.418","0.395","-0.96%"
"07/08/2020","0.416","0.412","0.421","0.398","-1.42%"
"07/07/2020","0.422","0.414","0.448","0.410","-1.63%"
"07/06/2020","0.429","0.451","0.455","0.427","-5.51%"
"07/03/2020","0.454","0.459","0.459","0.432","-1.09%"
"07/02/2020","0.459","0.503","0.503","0.445","-10.35%"
"07/01/2020","0.512","0.495","0.518","0.491","8.47%"
"06/30/2020","0.472","0.473","0.484","0.448","-2.48%"
"06/29/2020","0.484","0.480","0.485","0.460","6.49%"
"06/27/2020","0.454","0.454","0.454","0.454","-3.50%"
"06/26/2020","0.471","0.461","0.472","0.435","1.29%"
"06/25/2020","0.465","0.465","0.490","0.454","-1.90%"
"06/24/2020","0.474","0.498","0.511","0.465","-3.66%"
"06/23/2020","0.492","0.474","0.496","0.454","5.13%"
"06/22/2020","0.468","0.500","0.501","0.454","-4.10%"
"06/20/2020","0.488","0.488","0.488","0.488","-3.17%"
"06/19/2020","0.504","0.526","0.535","0.492","-4.36%"
"06/18/2020","0.527","0.569","0.577","0.509","-6.73%"
"06/17/2020","0.565","0.549","0.583","0.539","4.63%"
"06/16/2020","0.540","0.558","0.562","0.520","-4.76%"
"06/15/2020","0.567","0.580","0.583","0.543","-6.44%"
"06/12/2020","0.606","0.631","0.654","0.584","-5.02%"
"06/11/2020","0.638","0.657","0.671","0.607","-7.54%"
"06/10/2020","0.690","0.643","0.710","0.640","6.81%"
"06/09/2020","0.646","0.561","0.646","0.561","15.36%"
"06/08/2020","0.560","0.556","0.579","0.517","-1.23%"
"06/05/2020","0.567","0.579","0.581","0.544","-1.39%"
"06/04/2020","0.575","0.622","0.657","0.526","-7.11%"
"06/03/2020","0.619","0.588","0.625","0.570","9.75%"
"06/02/2020","0.564","0.563","0.573","0.538","-3.92%"
"06/01/2020","0.587","0.582","0.597","0.553","3.16%"
"05/29/2020","0.569","0.578","0.591","0.541","-3.07%"
"05/28/2020","0.587","0.648","0.656","0.584","-9.97%"
"05/27/2020","0.652","0.688","0.688","0.633","-6.46%"
"05/26/2020","0.697","0.707","0.709","0.675","-0.71%"
"05/25/2020","0.702","0.695","0.712","0.682","0.93%"
"05/23/2020","0.696","0.696","0.696","0.696","-0.78%"
